,ROME_PROFESSION_CARD_CODE,TXT_NAME
0,A1101,"Réalise des travaux mécanisés agricoles, sylvicoles ou forestiers (préparation des sols, semis, récolte, abattage d'arbres, ...) selon les objectifs de production (quantité, qualité, ...), la commande du client, les règles d'hygiène, de sécurité et la réglementation environnementale."
1,A1201,"Réalise des opérations de coupe d'arbres (abattage, élagage, ...) sur sites forestiers, voies départementales, parcs et jardins, ..., selon les règles de sécurité, les normes environnementales et les impératifs de production (délais, quantités, ...)."
2,A1201,Peut débarder les grumes. Peut estimer la valeur de coupes.
3,A1201,"Peut diriger une équipe ou diriger une entreprise de bûcheronnage, d'élagage, d'espaces verts."
4,A1202,"Aménage et entretient des espaces naturels (bordures de cours d'eau, dunes, talus, ...) afin de préserver leurs qualités biologiques selon les règles de sécurité et la réglementation environnementale."
5,A1202,Peut installer des équipements de préservation du littoral.
6,A1202,Peut coordonner une équipe.
7,A1203,"Aménage et entretient des espaces verts (parcs, jardins, terrains de sport, ...) et des décors végétaux d'intérieur ou d'extérieur (bureaux, commerces, halls d'accueil, murs végétaux, ...) selon les règles de sécurité et la réglementation environnementale."
8,A1203,Peut procéder à l'installation de mobilier urbain.
9,A1203,Peut coordonner une équipe.
10,A1204,"Effectue la surveillance de site (espaces naturels, protégés, ...) et veille à la sauvegarde du patrimoine naturel (réserve naturelle, forêts, littoral, ...) selon les directives institutionnelles, la réglementation environnementale (loi de protection du littoral, ...) et les règles de sécurité."
11,A1204,"Peut sensibiliser différents publics à la protection de l'environnement, ou mettre en place la sécurisation du public."
12,A1204,Peut coordonner une équipe.
13,A1205,"Met en oeuvre les opérations sylvicoles sur des parcelles forestières (dépressage, éclaircies, plantation, élagage sylvicole, ...) selon les règles d'hygiène et de sécurité, les objectifs d'exploitation (commerciaux, qualitatifs, ...) et les normes environnementales."
14,A1205,Peut effectuer des travaux d'aménagement de la forêt et des voies forestières.
15,A1205,Peut coordonner une équipe ou diriger une exploitation forestière.
